epoch,train_loss,train_acc,test_acc,elapsed_sec
0,2.8010480403900146,0.06,0.09243697478991597,0.00920867919921875
20,2.3752665519714355,0.2,0.03361344537815126,0.06804394721984863
40,2.175598621368408,0.32,0.03361344537815126,0.12112617492675781
60,1.9238865375518799,0.44,0.01680672268907563,0.17661714553833008
80,1.5723894834518433,0.5,0.04201680672268908,0.23061180114746094
100,1.1256030797958374,0.68,0.01680672268907563,0.28138208389282227
120,0.6204535365104675,0.9,0.01680672268907563,0.3421626091003418
140,0.23289920389652252,0.96,0.008403361344537815,0.40104079246520996
160,0.06851386278867722,1.0,0.008403361344537815,0.45387816429138184
180,0.022011399269104004,1.0,0.008403361344537815,0.5058045387268066
200,0.012586588971316814,1.0,0.008403361344537815,0.5566296577453613
220,0.009424312971532345,1.0,0.008403361344537815,0.6084079742431641
240,0.007543169893324375,1.0,0.008403361344537815,0.6599256992340088
260,0.006048286333680153,1.0,0.008403361344537815,0.712913990020752
280,0.004779956303536892,1.0,0.008403361344537815,0.7656576633453369
300,0.0037363457959145308,1.0,0.008403361344537815,0.8170616626739502
320,0.002943987026810646,1.0,0.008403361344537815,0.8714306354522705
340,0.0023364864755421877,1.0,0.008403361344537815,0.9294965267181396
360,0.0018544378690421581,1.0,0.008403361344537815,0.9842472076416016
380,0.001469568582251668,1.0,0.008403361344537815,1.0402278900146484
400,0.001171558746136725,1.0,0.008403361344537815,1.097064733505249
420,0.0009357117232866585,1.0,0.008403361344537815,1.1556077003479004
440,0.0007478121551685035,1.0,0.008403361344537815,1.2200777530670166
460,0.0005975038511678576,1.0,0.008403361344537815,1.301732063293457
480,0.0004788858932442963,1.0,0.008403361344537815,1.3689346313476562
500,0.00038325070636346936,1.0,0.008403361344537815,1.4191546440124512
